orientation_X,orientation_X,orientation_X,orientation_X,orientation_X,orientation_Y,orientation_Y,orientation_Y,orientation_Y,orientation_Y,orientation_Z,orientation_Z,orientation_Z,orientation_Z,orientation_Z,orientation_W,orientation_W,orientation_W,orientation_W,orientation_W,angular_velocity_X,angular_velocity_X,angular_velocity_X,angular_velocity_X,angular_velocity_X,angular_velocity_Y,angular_velocity_Y,angular_velocity_Y,angular_velocity_Y,angular_velocity_Y,angular_velocity_Z,angular_velocity_Z,angular_velocity_Z,angular_velocity_Z,angular_velocity_Z,linear_acceleration_X,linear_acceleration_X,linear_acceleration_X,linear_acceleration_X,linear_acceleration_X,linear_acceleration_Y,linear_acceleration_Y,linear_acceleration_Y,linear_acceleration_Y,linear_acceleration_Y,linear_acceleration_Z,linear_acceleration_Z,linear_acceleration_Z,linear_acceleration_Z,linear_acceleration_Z,surface_label,surface_label,surface_label,surface_label,surface_label
0.48741,0.50294,0.494943359375,0.49495500000000003,2.0381809885580322e-05,-0.86036,-0.85153,-0.856069296875,-0.8561449999999999,6.418069580463129e-06,-0.12395,-0.11964,-0.121659609375,-0.121515,1.4258604761318565e-06,0.084409,0.087122,0.085711625,0.08547099999999999,6.192115275590414e-07,-0.32848,0.39851,0.009736799999999999,0.00404415,0.02657763040601337,-0.071864,0.19197,0.038975809375,0.0353805,0.002196940321400226,-0.16906,-0.046535,-0.10859653125,-0.10885,0.0006854485996210636,-3.1785,3.5889,0.041821855468749995,0.141725,2.1104906571979023,-3.017,8.7501,2.846465296875,2.43425,6.974618193643565,-17.114,-0.89309,-9.319146796875,-9.511050000000001,14.318569562675483,3,3,3.0,3.0,0.0
0.32934,0.33845,0.33408796875,0.334375,6.285584817913768e-06,0.92898,0.93215,0.930678046875,0.9304749999999999,7.458882812500067e-07,0.1411,0.14481,0.142847421875,0.14280500000000002,1.2754964505413542e-06,0.041121,0.044262,0.0425277421875,0.042338,6.618185393085493e-07,-0.25919,0.27148,0.002227787578125001,-0.00800565,0.011260020252170586,-0.13568,0.061539,-0.025977410234374998,-0.025916500000000002,0.0022011583921461818,-0.15024,0.29348,0.0564884515625,0.062395000000000006,0.013128516083769443,-3.7185,3.1225,0.14148115625,0.32726500000000003,2.262687326410306,-6.4631,7.4961,2.7927682734375,3.82035,10.930561388368027,-13.189,-5.4117,-9.415378125,-9.495000000000001,2.493698304084644,6,6,6.0,6.0,0.0
0.36721,0.38033,0.3743340625,0.37451,1.4586701476378395e-05,0.91226,0.91758,0.91479609375,0.91475,2.342376747047858e-06,0.14194,0.14445,0.143148359375,0.14307999999999998,4.459587044783157e-07,0.047815,0.051832,0.0501168515625,0.0502745,1.6380425210998692e-06,-0.11308,0.11939,-0.00046249804687500007,-0.0005677249999999999,0.0028456013468114326,-0.088985,0.18191,0.039264753671875,0.040409,0.002183248214322694,-0.17553,-0.024919,-0.0867453671875,-0.08259050000000001,0.0010349052057145047,-3.0463,3.652,0.0016634375000000035,-0.231165,1.9837127915969257,0.24742,5.1787,2.73391328125,2.72145,1.0091692916489912,-13.026,-5.688,-9.31081875,-9.19785,1.7707469939763794,6,6,6.0,6.0,0.0
-0.50549,-0.5027,-0.50415953125,-0.50407,3.444942667322555e-07,-0.8504,-0.84928,-0.849934609375,-0.84999,6.176520054135461e-08,-0.13784,-0.13044,-0.1341071875,-0.134295,2.285677066929177e-06,-0.076247,-0.071829,-0.0737974453125,-0.0738225,9.535090993479247e-07,-0.73715,0.90078,0.0004780281249999993,0.0071861,0.0946500847565787,-0.17168,0.26073,-0.00225475125,-0.00815765,0.004802285724542375,-0.17071,0.23022,0.006383674296875,0.0039235,0.006594551276345226,-7.9455,6.4082,0.036852708046875,-0.27695000000000003,4.136397190157895,-8.4007,15.712,2.8888156953125,3.36525,22.97241417967425,-29.345,18.193,-9.372133359375,-9.3749,51.134482294244535,1,1,1.0,1.0,0.0
-0.94307,-0.94163,-0.94204578125,-0.9421,8.592851870080748e-08,0.29916,0.3024,0.301548828125,0.301645,5.051600332185515e-07,0.035939,0.037767,0.0368499140625,0.036683999999999994,2.066958901943935e-07,-0.14339,-0.14067,-0.14233375,-0.14237,4.918456692912913e-07,-0.18146,0.38612,0.013916927343750001,-0.00196995,0.009649137918101059,-0.066915,0.15527,-0.0018739914843749997,-0.009059149999999998,0.0015131234241694898,-0.20156,0.06144,-0.015953154921875,-0.01055,0.0031238203356618007,-3.967,4.6456,-0.04400973906249999,-0.0016930999999999995,1.6940689507613944,-1.7244,7.6473,3.176710796875,3.35055,3.5861836156530607,-14.713,-1.4584,-9.27889375,-9.36295,4.3683308634251965,6,6,6.0,6.0,0.0
-0.96138,-0.95786,-0.95957671875,-0.959715,5.29683636811033e-07,0.23165,0.24375,0.23759828125,0.23772,6.5893781249999485e-06,0.02526,0.032247,0.0290599765625,0.02901,2.8679350624384827e-06,-0.15141,-0.14503,-0.147989609375,-0.147875,3.4308809485729085e-06,-0.45265,0.60565,0.0008698031249999984,0.010394500000000001,0.04742779087021086,-0.3891,0.50045,0.010938601562499999,0.018554,0.03978350445481466,-0.69684,0.66016,0.04086478046875,0.0497745,0.08741323369462271,-16.968,19.838,-0.48952959375,-0.215955,45.238153688563635,-7.1905,13.573,3.561606140625,2.972,20.8694243131805,-23.805,5.3,-9.37181359375,-9.079999999999998,28.145969672500367,6,6,6.0,6.0,0.0
0.43479,0.44361,0.440158828125,0.440575,7.397760033218699e-06,-0.88816,-0.88375,-0.88545453125,-0.885305,1.7807462352357204e-06,-0.13069,-0.12912,-0.129869296875,-0.129855,2.039435962106466e-07,0.072199,0.073753,0.07317684375,0.0730875,1.6818942421258957e-07,-0.06693,0.058326,0.001546304609375,0.010298,0.0012329592325966711,-0.037505,0.015627,-0.016145153046875,-0.017854500000000002,0.00013781049634634888,-0.038534,0.12056,0.057834797109375,0.060527,0.00118123250596592,-0.63156,0.70262,0.144476072265625,0.20951,0.08992615003156497,1.067,4.7934,2.87425546875,2.7283999999999997,1.114412823276943,-10.29,-8.6264,-9.35151328125,-9.3185,0.09759589297182587,2,2,2.0,2.0,0.0
-0.29597,-0.28213,-0.288716328125,-0.28835500000000003,1.535791633243058e-05,-0.94838,-0.9435,-0.9460678125,-0.9462349999999999,1.971718011811003e-06,-0.14501,-0.1405,-0.142485703125,-0.14242,1.2773648560531607e-06,-0.038169,-0.0339,-0.035717921875,-0.0356325,1.7547779781004281e-06,-0.40788,0.41962,0.029347265468749998,0.03336,0.034136186132475786,-0.12416,0.21032,0.026704578906250002,0.019481,0.004407068252993016,-0.18509,-0.026055,-0.089690859375,-0.087827,0.001140926424940699,-4.1426,4.7121,0.1672250546875,0.0189345,4.070784440241897,-1.7175,7.3164,2.9165986796875,3.2311500000000004,4.185806045084108,-19.453,1.314,-9.3263253125,-9.295100000000001,19.767692771448726,3,3,3.0,3.0,0.0
0.82149,0.83687,0.82896859375,0.82883,1.9817591707677606e-05,-0.55018,-0.52659,-0.538818828125,-0.539075,4.695564507259037e-05,-0.078026,-0.073512,-0.075832703125,-0.075961,1.95161991117125e-06,0.1279,0.13028,0.12909734375,0.129125,6.899535187008283e-07,-0.037375,0.045317,0.00425765571875,0.00624805,0.00029521411504241887,0.034608,0.078371,0.0594429921875,0.061021000000000006,0.00010212663745663132,-0.20128,-0.13085,-0.165558203125,-0.16434500000000002,0.00028072600698203807,-0.6734,0.44607,-0.05627255078125,-0.0475665,0.07406809347434405,1.9582,4.0758,3.1307484375,3.175,0.22384760456446837,-10.144,-8.4478,-9.3457125,-9.31635,0.11913928094488195,2,2,2.0,2.0,0.0
0.90865,0.9163,0.91309296875,0.91332,4.649865132873456e-06,-0.38991,-0.37149,-0.379342890625,-0.37878,2.784136874384838e-05,-0.052467,-0.048833,-0.0503943203125,-0.050321000000000005,8.307560934424025e-07,0.13913,0.14187,0.140664921875,0.14077,4.533684977854597e-07,-0.1401,0.16345,-0.0001031678906249999,-0.0045426,0.004222651362192047,-0.13826,0.086531,-0.040093783515625,-0.044885,0.0033999920481462657,0.0069737,0.20566,0.11870705234375,0.113015,0.0015774553413270807,-2.0287,3.2965,0.3313999609375,0.34951,1.1954063070966428,-1.2176,5.9,2.87064367421875,3.01505,2.4363740033918186,-13.191,-6.187,-9.36140546875,-9.25825,2.3774189732769453,3,3,3.0,3.0,0.0
0.01322,0.013481,0.01331615625,0.013305,4.7664478346456675e-09,-0.98901,-0.98899,-0.989005234375,-0.98901,2.8291092519837436e-11,-0.14696,-0.14683,-0.146886328125,-0.14688,1.5021592027553997e-09,0.010658,0.010851,0.0107674609375,0.0107875,4.27716381643706e-09,-0.01103,0.015002,0.00020627638671875004,-0.00050962,2.5179115132169448e-05,-0.0063553,0.012277,0.0030022688171875,0.00274705,1.554421655782196e-05,-0.011432,0.013611,0.00048260125,0.00071451,2.1359769744261027e-05,0.017002,0.28714,0.165048875,0.17864000000000002,0.005039164088362204,2.5081,3.3249,2.8903015625,2.8495999999999997,0.02122422015501976,-9.7905,-8.952,-9.36539296875,-9.3661,0.015165800343872951,5,5,5.0,5.0,0.0
-0.96217,-0.96193,-0.962047265625,-0.96204,5.290889517692295e-09,0.22765,0.22863,0.228154453125,0.22819,8.610993479332136e-08,0.030177,0.030394,0.0302800625,0.030282,3.092547244094088e-09,-0.14664,-0.14658,-0.14660609375,-0.1466,1.7674704724418622e-10,-0.011851,0.010838,0.00036368021874999995,0.00062287,1.8240543827555215e-05,-0.0043467,0.0087857,0.0019982469453125,0.0019759,8.637794301490635e-06,-0.00595,0.0057638,-0.000237844515625,-3.6508000000000004e-05,5.6324254879515275e-06,0.082231,0.18298,0.1505450078125,0.15439,0.00040033167496844244,2.8481,2.9846,2.92230234375,2.9261999999999997,0.0009262684196604125,-9.5279,-9.1795,-9.3594546875,-9.35645,0.004829494623523614,2,2,2.0,2.0,0.0
-0.28543,-0.28101,-0.283878046875,-0.28412000000000004,1.74467568282495e-06,-0.94778,-0.94666,-0.9470778125,-0.9469449999999999,9.913218503939964e-08,-0.14605,-0.14337,-0.1446609375,-0.144555,4.4622746062993733e-07,-0.03966,-0.037851,-0.039081890625,-0.0392565,2.2269239739172791e-07,-0.18959,0.26533,0.01052304921875,0.012164000000000001,0.009631419765093376,-0.16105,0.13904,0.0002503003125,0.0017702500000000001,0.004066101649256612,-0.1161,0.12997,0.02261286796875,0.026513000000000002,0.001572863610318887,-3.8641,3.8222,0.10429079062499999,0.0786915,2.4085593879394076,-2.015,7.0623,2.89780261171875,2.9254499999999997,4.099080584641267,-16.47,-3.8594,-9.413475,-9.448550000000001,6.6091299696063,3,3,3.0,3.0,0.0
0.95262,0.95496,0.953858046875,0.95387,5.34869383612492e-07,-0.26482,-0.25611,-0.260279140625,-0.2602,7.382674058809528e-06,-0.034158,-0.032999,-0.0336322109375,-0.03361,1.044571913754879e-07,0.1456,0.14621,0.14584578125,0.14589,2.5241904527551864e-08,-0.023979,0.033322,0.0013982786640625,0.000160185,0.00012070062577676535,-0.036567,0.0076011,-0.01365733828125,-0.014274499999999999,7.135864204626156e-05,0.023077,0.077526,0.054708453125,0.054210499999999995,0.00015467121406077756,-0.60164,0.86577,0.1754878833046875,0.201245,0.09211581023213854,2.458,3.5433,3.01303671875,3.02835,0.051722138719857313,-10.102,-8.5754,-9.32527109375,-9.3278,0.09568916474840075,2,2,2.0,2.0,0.0
0.33736,0.35503,0.345574453125,0.34525,2.584005481668369e-05,0.92274,0.92926,0.926281796875,0.92641,3.509613281249694e-06,0.14244,0.14386,0.1431184375,0.143125,1.5068887795273311e-07,0.044625,0.046762,0.0454711171875,0.0454855,4.300803247416316e-07,-0.046478,0.034864,-0.001939004921875,-0.0018686,0.0003168377345451638,0.0097439,0.07228,0.03601087421875,0.0349985,0.00014334837626287344,-0.16101,-0.065504,-0.1155124375,-0.11779,0.00045945522585433073,-0.7991,0.87773,0.10901234234375,0.11656,0.09725251049936277,2.1125,4.2813,2.97479609375,2.9635,0.27315281990588114,-10.261,-8.5153,-9.3368015625,-9.30105,0.1438219362180118,2,2,2.0,2.0,0.0
-0.82604,-0.81261,-0.819145859375,-0.819105,1.5533622877705057e-05,-0.56434,-0.54444,-0.55468125,-0.5548500000000001,3.382689448819059e-05,-0.089455,-0.086725,-0.0882299765625,-0.0881295,7.103271569266488e-07,-0.11711,-0.11487,-0.11616609375,-0.11607500000000001,4.023342273621846e-07,-0.052799,0.055072,-0.00266710634375,-0.0058055,0.0004524508146401122,-0.087893,-0.0017419,-0.04053116015625,-0.039288500000000004,0.00031914359548635264,0.11019,0.17523,0.1432375,0.143635,0.0002122900141732289,-1.2157,1.4037,0.14585140625,0.19657000000000002,0.2828474885705424,2.0319,4.6078,2.98678515625,2.7285,0.4230890483606055,-10.125,-8.5276,-9.326534375,-9.3092,0.13072591266732295,0,0,0.0,0.0,0.0
0.6214,0.65216,0.636443828125,0.63622,8.099475294660486e-05,-0.76945,-0.74331,-0.756808984375,-0.7571300000000001,5.8099059590305123e-05,-0.10971,-0.10613,-0.1081221875,-0.10803,1.3173258858267567e-06,0.098901,0.10442,0.101718890625,0.101505,2.491939027312966e-06,-0.07697,0.05583,-0.00396256390625,-0.0036038499999999996,0.0007729921301334601,0.025441,0.12008,0.0807590234375,0.07963100000000001,0.0003973395181490528,-0.30386,-0.19231,-0.247648203125,-0.246495,0.0007166392101316443,-1.3786,1.5232,-0.038274382812499994,0.0292535,0.42663113905521444,1.1597,4.3154,2.77221875,2.7252,0.5535484031102361,-11.452,-7.9475,-9.386146875,-9.349350000000001,0.41243893526574793,7,7,7.0,7.0,0.0
0.93984,0.94078,0.940280546875,0.940225,6.680678518701516e-08,-0.30629,-0.30398,-0.30537609375,-0.3054,4.85757849409508e-07,-0.037317,-0.035598,-0.036667609375,-0.0366915,1.5268853912401658e-07,0.14453,0.14705,0.145851015625,0.145835,4.2792888164373113e-07,-0.30679,0.20371,-0.00435231953125,0.0132143,0.010952615988560005,-0.19922,0.1791,-0.005024663203125,-0.0052504000000000006,0.005068419238959739,-0.14584,0.10055,-0.01287752578125,-0.010579999999999999,0.0037745349584727937,-4.3148,3.171,0.21313656171875,0.36007500000000003,1.7483374676375534,-1.4526,8.877,3.01685935234375,2.8593,4.28240486932462,-15.373,-1.6232,-9.3171203125,-9.2971,5.037029286355807,3,3,3.0,3.0,0.0
0.012365,0.014542,0.013446671875,0.013314,4.977435450295207e-07,-0.98896,-0.98879,-0.988890390625,-0.9889,1.6463029035529573e-09,-0.14827,-0.14731,-0.147692890625,-0.14765,5.1482129675199035e-08,0.009911,0.01024,0.0100617859375,0.010081,7.153881847933202e-09,-0.096391,0.092204,-0.00011966437499999981,0.00082178,0.0012960730149964657,-0.029995,0.03573,0.0045398688125,0.00369025,0.00019725101883094452,-0.049564,0.019939,-0.0113676575078125,-0.010950999999999999,0.00031089970680350646,-1.0598,1.2314,0.22955675234375,0.18631999999999999,0.16054067386998064,1.3216,4.4475,2.84447109375,2.85095,0.5006646121499753,-11.266,-7.1339,-9.38661484375,-9.35295,0.6793850852109994,5,5,5.0,5.0,0.0
0.93727,0.94184,0.93950390625,0.93941,1.8422854084650274e-06,-0.31381,-0.30008,-0.30718359375,-0.30743,1.6912479896653432e-05,-0.04275,-0.040242,-0.0415449609375,-0.0416885,5.512892819266672e-07,0.14538,0.14589,0.1456878125,0.14574,2.3275492125993494e-08,-0.039396,0.03731,0.0043308679375,0.0048905500000000005,0.0002251402162153634,0.012386,0.060534,0.0311468125,0.029144,0.00010139867712992122,-0.10657,-0.05345,-0.0863936328125,-0.089447,0.00015675684656489897,-0.41777,0.82025,0.0589942171875,0.048568,0.08473492586396457,2.2839,3.9532,2.94066640625,2.91785,0.12085807736651082,-10.135,-8.448,-9.35062578125,-9.355,0.1429242757867864,2,2,2.0,2.0,0.0
0.97359,0.97778,0.97576375,0.97583,1.5075889763776164e-06,-0.17391,-0.14885,-0.16118203125,-0.16096,5.390106670767694e-05,-0.020664,-0.016789,-0.0185689453125,-0.0183455,1.215800650529032e-06,0.14648,0.1468,0.1466446875,0.14664,5.502263779526697e-09,-0.03473,0.044817,0.0038956109375,0.0044182,0.00026782888859703684,0.024763,0.082746,0.05079334375,0.0495945,0.00015588390769192919,-0.18325,-0.12913,-0.157083203125,-0.155945,0.00014521826446235215,-0.6273,0.97965,0.027733174218750004,-0.042138,0.13356799712718018,2.5462,3.6464,3.02037578125,3.03015,0.04675819303088095,-10.483,-8.2788,-9.33220546875,-9.3778,0.19307705201710143,2,2,2.0,2.0,0.0
0.62509,0.63485,0.630141484375,0.630335,8.205223763533883e-06,-0.76568,-0.75724,-0.761330625,-0.76113,6.267900393700965e-06,-0.11457,-0.11318,-0.11388609375,-0.113965,1.0709800688976375e-07,0.10003,0.10279,0.10155109375,0.101575,6.16354699803159e-07,-0.15816,0.1532,-0.010944971875,-0.012273,0.003649829290622196,-0.063241,0.095421,0.0246233849921875,0.0245205,0.0011802480360159667,-0.14703,-0.021614,-0.0823433828125,-0.081808,0.0009149044023798596,-2.3964,2.0768,0.03346315625,0.1277,0.8800639864045268,-0.73449,5.3017,2.95808040625,3.08075,1.7639476170381327,-13.374,-5.1291,-9.32596171875,-9.4858,2.3502525141922983,0,0,0.0,0.0,0.0
-0.87485,-0.87202,-0.8733165625,-0.87327,6.991093503938634e-07,0.45983,0.465,0.462631796875,0.46281,2.4724164308562626e-06,0.06249,0.064716,0.0636484921875,0.06357399999999999,2.293253385211529e-07,-0.13968,-0.13757,-0.138689765625,-0.13864,2.35701519438989e-07,-0.33055,0.43935,-0.0016006098437499998,-0.00142755,0.018089869110312018,-0.18469,0.24443,-0.010538539140625,-0.00157655,0.00579019942851789,-0.09895,0.16133,0.031778149609375,0.030704500000000003,0.00394728228976304,-7.2472,9.8688,0.18607846093749997,-0.027928500000000002,8.138179772697494,-1.1561,7.6868,2.7588796875,2.6629,2.723957713573129,-21.261,1.2129,-9.398216796875,-9.578,12.484088339499106,1,1,1.0,1.0,0.0
